ticker,name,sector,function
AAN,Aaron's Inc,Consumer Discretionary,Homefurnishing Retail
ABMD,Abiomed,Health Care,Health Care Equipment
ACC,American Campus Communities,Real Estate,Residential REITs
ACHC,Acadia Healthcare,Health Care,Health Care Facilities
ACIW,ACI Worldwide Inc,Information Technology,Application Software
ACM,AECOM,Industrials,Construction & Engineering
ACXM,Acxiom,Information Technology,Application Software
AEO,American Eagle Outfitters,Consumer Discretionary,Apparel Retail
AFG,American Financial Group Inc,Financials,Multi-line Insurance
AGCO,AGCO Corp,Industrials,Construction & Farm Equipment & Heavy Trucks
AHL,Aspen Insurance Holdings Ltd,Financials,Insurance Brokers
AKRX,"Akorn, Inc",Health Care,Pharmaceuticals
ALEX,Alexander & Baldwin Inc,Real Estate,Diversified Real Estate Activities
Y,Alleghany Corp,Financials,Reinsurance
ATI,Allegheny Technologies Inc,Materials,Steel
AMCX,AMC Networks,Consumer Discretionary,Cable & Satellite
AN,AutoNation,Consumer Discretionary,Automotive Retail
WTR,Aqua America Inc,Utilities,Water Utilities
ARW,Arrow Electronics Inc,Information Technology,Technology Distributors
ARRS,ARRIS Group Inc,Information Technology,Communications Equipment
ASB,Associated Banc-Corp,Financials,Regional Banks
ASH,Ashland Inc,Materials,Diversified Chemicals
ATO,Atmos Energy Corp,Utilities,Gas Utilities
ATR,AptarGroup Inc,Materials,Metal & Glass Containers
CAR,Avis Budget Group,Industrials,Trucking
AVT,Avnet Inc,Information Technology,Technology Distributors
AVP,Avon Products Inc,Consumer Staples,Personal Products
BBBY,Bed Bath & Beyond,Consumer Discretionary,Homefurnishing Retail
BC,Brunswick Corp,Consumer Discretionary,Leisure Products
BDC,Belden Inc,Information Technology,Electronic Components
BID,Sotheby's,Consumer Discretionary,Diversified Consumer Services
BIG,Big Lots Inc,Consumer Discretionary,General Merchandise Stores
BIO,Bio-Rad Laboratories-A,Health Care,Life Sciences Tools & Services
BIVV,Bioverativ,Health Care,Biotechnology
BKH,Black Hills Corp,Utilities,Multi-Utilities
BLKB,Blackbaud,Information Technology,Application Software
BMS,Bemis Company,Materials,Paper Packaging
BOH,Bank of Hawaii Corp,Financials,Regional Banks
BR,Broadridge Financial Solutions,Information Technology,Data Processing & Outsourced Services
BRCD,Brocade Communications Systems,Information Technology,Communications Equipment
BRO,Brown & Brown Inc,Financials,Insurance Brokers
BWLD,Buffalo Wild Wings Inc,Consumer Discretionary,Restaurants
BXS,BancorpSouth Inc,Financials,Regional Banks
CAA,CalAtlantic Group Inc,Consumer Discretionary,Homebuilding
CAB,Cabela's Inc,Consumer Discretionary,Specialty Stores
CABO,Cable One Inc,Consumer Discretionary,Cable & Satellite
CAKE,Cheesecake Factory Inc,Consumer Discretionary,Restaurants
CARS,Cars.com Inc,Information Technology,Internet Software & Services
CASY,Casey's General Stores,Consumer Staples,Food Retail
CATY,Cathay General Bancorp,Financials,Regional Banks
CBSH,Commerce Bancshares,Financials,Regional Banks
CBT,Cabot Corp,Materials,Diversified Chemicals
CC,Chemours,Materials,Diversified Chemicals
CCP,Care Capital Properties,Real Estate,Health Care REITs
CDK,CDK Global Inc,Information Technology,Application Software
CDNS,Cadence Design Sys Inc,Information Technology,Application Software
CFR,Cullen/Frost Bankers Inc,Financials,Regional Banks
CGNX,Cognex Corporation,Information Technology,Electronic Equipment & Instruments
CHDN,Churchill Downs Inc,Consumer Discretionary,Casinos & Gaming
CHFC,Chemical Financial Corp,Financials,Regional Banks
CIEN,Ciena Corp,Information Technology,Communications Equipment
CLB,Core Laboratories,Energy,Oil & Gas Equipment & Services
CLGX,CoreLogic,Information Technology,Data Processing & Outsourced Services
CLH,Clean Harbors Inc,Industrials,Environmental & Facilities Services
CLI,Mack-Cali Realty Corporation,Real Estate,Office REITs
CMC,Commercial Metals Company,Materials,Steel
CMP,Compass Minerals International Inc.,Materials,Diversified Metals & Mining
CNK,Cinemark Holdings Inc,Consumer Discretionary,Movies & Entertainment
CNO,CNO Financial Group,Financials,Life & Health Insurance
COHR,"Coherent, Inc.",Information Technology,Electronic Equipment & Instruments
CONE,CyrusOne,Real Estate,Specialized REITs
COR,CoreSite Realty,Real Estate,Specialized REITs
CPRT,"Copart, Inc.",Industrials,Diversified Support Services
CPT,Camden Property Trust,Real Estate,Residential REITs
CR,Crane Co.,Industrials,Industrial Machinery
CREE,Cree Inc,Information Technology,Semiconductors
CRI,"Carter's, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
CRL,Charles River Laboratories,Health Care,Life Sciences Tools & Services
CRS,Carpenter Technology,Materials,Steel
CRUS,Cirrus Logic Inc,Information Technology,Semiconductors
CNX,Consol Energy,Energy,Coal & Consumable Fuels
CSL,Carlisle Companies Inc.,Industrials,Industrial Conglomerates
CTB,Cooper Tire & Rubber Company,Consumer Discretionary,Tires & Rubber
CTLT,Catalent Inc,Health Care,Pharmaceuticals
CUZ,Cousins Properties Inc,Real Estate,Office REITs
CVG,Convergys Corp,Information Technology,Data Processing & Outsourced Services
CVLT,CommVault Systems,Information Technology,Systems Software
CXW,CoreCivic,Real Estate,Diversified REITs
CW,Curtiss-Wright Corp,Industrials,Aerospace & Defense
CBRL,Cracker Barrel,Consumer Discretionary,Restaurants
CY,Cypress Semiconductor Corp,Information Technology,Semiconductors
DAN,Dana Incorporated,Consumer Discretionary,Auto Parts & Equipment
DBD,Diebold Inc,Information Technology,Computer Hardware
DCI,Donaldson Co,Industrials,Industrial Machinery
DCT,DCT Industrial Trust Inc,Real Estate,Industrial REITs
DDD,3D Systems Corp,Information Technology,"Technology Hardware, Storage & Peripherals"
DDS,Dillard's Inc,Consumer Discretionary,Department Stores
DECK,Deckers Outdoor Corporation,Consumer Discretionary,Footwear
DEI,Douglass Emmett Inc,Real Estate,Office REITs
DF,Dean Foods Co,Consumer Staples,Food Products
DKS,Dick's Sporting Goods Inc,Consumer Discretionary,Specialty Stores
DLX,Deluxe Corporation,Industrials,Commercial Printing
DNB,Dun & Bradstreet Corp,Industrials,Research & Consulting Services
DNKN,Dunkin' Brands Group Inc,Consumer Discretionary,Restaurants
DNOW,NOW Inc,Industrials,Trading Companies & Distributors
DO,Diamond Offshore Drilling,Energy,Oil & Gas Drilling
DPZ,Domino's Pizza Inc,Consumer Discretionary,Restaurants
DRQ,Dril-Quip,Energy,Oil & Gas Equipment & Services
DST,DST Systems,Information Technology,Data Processing & Outsourced Services
DV,DeVry Education Group,Consumer Discretionary,Education Services
DY,Dycom Industries Inc,Industrials,Construction & Engineering
EAT,Brinker International Inc,Consumer Discretionary,Restaurants
EDR,Education Realty Trust Inc.,Real Estate,Residential REITs
EGN,Energen,Energy,Oil & Gas Exploration & Production
EME,Emcor,Industrials,Construction & Engineering
ENDP,Endo International,Health Care,Pharmaceuticals
ENR,Energizer Holdings Inc,Consumer Staples,Household Products
ENS,EnerSys,Industrials,Electrical Components & Equipment
EPC,Edgewell Personal Care Company,Consumer Staples,Household Products
EPR,EPR Properties,Real Estate,Specialized REITs
ESL,Esterline Technologies,Industrials,Aerospace & Defense
ESV,Ensco plc,Energy,Oil & Gas Drilling
EV,Eaton Vance Corp,Financials,Asset Management & Custody Banks
EWBC,East West Bancorp Inc,Financials,Regional Banks
EXP,Eagle Materials Inc,Materials,Construction Materials
FAF,First American Financial Corp,Financials,Property & Casualty Insurance
FDS,FactSet Research Systems Inc,Financials,Financial Exchanges & Data
FHN,First Horizon National Corp,Financials,Regional Banks
FICO,Fair Isaac Corporation,Information Technology,Application Software
FII,Federated Investors,Financials,Asset Management & Custody Banks
FLO,Flowers Foods Inc.,Consumer Staples,Packaged Foods & Meats
FR,First Industrial Realty Trust,Real Estate,Industrial REITs
FNB,FNB Corporation,Financials,Regional Banks
FSLR,First Solar,Information Technology,Semiconductors
FTNT,Fortinet,Information Technology,Systems Software
FTR,Frontier Communications,Telecommunication Services,Integrated Telecommunication Services
FULT,Fulton Financial Corporation,Financials,Regional Banks
GATX,GATX Corp.,Industrials,Capital Goods
GEF,"Greif, Inc.",Materials,Metal & Glass Containers
GEO,GEO Group Inc.,Real Estate,Specialized REITs
GGG,Graco Inc.,Industrials,Industrial Machinery
GHC,Graham Holdings Company,Consumer Discretionary,Education Services
GME,GameStop Corp.,Consumer Discretionary,Computer & Electronics Retail
GMED,Globus Medical Inc.,Health Care,Health Care Equipment
GNTX,Gentex Corp.,Consumer Discretionary,Auto Parts & Equipment
GNW,Genworth Financial,Financials,Multi-line Insurance
GPOR,Gulfport Energy Corp,Energy,Oil & Gas Exploration & Production
GVA,Granite Construction Inc.,Industrials,Construction & Engineering
GWR,Genesee & Wyoming,Industrials,Railroads
GXP,Great Plains Energy Inc.,Utilities,Electric Utilities
HAIN,Hain Celestial Group,Consumer Staples,Food Products
HBHC,Hancock Holding Company,Financials,Regional Banks
HE,Hawaiian Electric Industries,Utilities,Electric Utilities
HELE,Helen of Troy Limited,Consumer Discretionary,Household Appliances
HFC,HollyFrontier Corporation,Energy,Oil & Gas Refining & Marketing
HII,Huntington Ingalls Industries Inc.,Industrials,Aerospace & Defense
HIW,Highwoods Properties,Real Estate,Office REITs
HLS,HealthSouth Corporation,Health Care,Health Care Facilities
HNI,HNI Corporation,Industrials,Office Services & Supplies
HOMB,Home BancShares Inc,Financials,Regional Banks
HPT,Hospitality Properties Trust,Real Estate,Specialized REITs
HR,Healthcare Realty Trust,Real Estate,Health Care REITs
HRC,Hill-Rom Holdings Inc.,Health Care,Life Sciences Tools & Services
HSNI,HSN Inc,Consumer Discretionary,Specialty Retail
HUBB,Hubbell Incorporated,Industrials,Industrial Machinery
HYH,Halyard Health,Health Care,Health Care Supplies
IBOC,Intl Bancshares Corp,Financials,Regional Banks
IDA,Idacorp Inc.,Utilities,Electric Utilities
IDCC,InterDigital Inc.,Information Technology,Communications Equipment
IDTI,Integrated Device Technology,Information Technology,Semiconductors
IEX,IDEX Corp,Industrials,Industrial Machinery
INCR,INC Research Holdings Inc,Health Care,Life Sciences Tools & Services
INGR,Ingredion Inc,Consumer Staples,Food Products
INT,World Fuel Services Corp,Energy,Oil & Gas Refining & Marketing
IPGP,IPG Photonics,Information Technology,Electronic Manufacturing Services
ISCA,International Speedway Corporation,Consumer Discretionary,Leisure Facilities
ITT,ITT Inc,Industrials,Industrial Machinery
JACK,Jack in the Box Inc.,Consumer Discretionary,Restaurants
JBGS,JBG Smith Properties,Real Estate,Office REITs
JBL,Jabil Circuit Inc,Information Technology,Electronic Manufacturing Services
JHG,Janus Henderson,Financials,Asset Management & Custody Banks
JBLU,JetBlue Airways Corp,Industrials,Airlines
JCOM,j2 Global Inc.,Information Technology,Internet Software & Services
JKHY,Jack Henry & Associates Inc,Information Technology,Data Processing & Outsourced Services
JLL,Jones Lang Lasalle Inc,Real Estate,Real Estate Services
JW.A,John Wiley & Sons Inc. 'A',Consumer Discretionary,Publishing
KBH,KB Home,Consumer Discretionary,Homebuilding
KBR,KBR Inc,Industrials,Construction & Engineering
KEX,Kirby Corporation,Industrials,Marine
KEYS,Keysight Technologies Inc,Information Technology,Electronic Equipment & Instruments
KLXI,KLX Inc,Industrials,Aerospace & Defense
KMPR,Kemper Corporation,Financials,Multi-line Insurance
KMT,Kennametal Inc,Industrials,Industrial Machinery
KN,Knowles Corp,Information Technology,Electronic Components
KNX,Knight Transportation,Industrials,Trucking
KRC,Kilroy Realty Corp,Real Estate,Office REITs
LAMR,Lamar Advertising Co-A,Real Estate,Diversified REITs
LANC,Lancaster Colony Corp,Consumer Staples,Packaged Foods & Meats
LDOS,Leidos Holdings Inc,Information Technology,IT Consulting & Other Services
LECO,Lincoln Electric Holdings Inc,Industrials,Industrial Machinery
LFUS,Littelfuse Inc,Information Technology,Electronic Components
LHO,LaSalle Hotel Properties,Real Estate,Hotel & Resort REITs
LII,Lennox International Inc,Industrials,Building Products
LIVN,LivaNova,Health Care,Health Care Equipment
LM,Legg Mason Inc,Financials,Asset Management & Custody Banks
